# elapsed, speed,x,y,z,roll,pitch,yaw,heading,new yaw, gForceX,gForceY,gForceZ,quatX,quatY,quatZ,quatW
4.398,2.835,0.026,0.014,-0.498,-0.000,0.005,0.000,-1.883,0.000,1.007,0.001,-0.003,0.808,0.004,0.589
4.455,2.839,0.029,0.018,-0.498,-0.000,0.004,0.000,-1.883,0.000,1.007,0.001,-0.002,0.808,0.003,0.589
4.521,2.843,0.038,0.015,-0.498,-0.000,0.003,0.000,-1.883,0.000,1.007,0.001,-0.002,0.808,0.002,0.589
4.587,2.845,0.038,0.019,-0.498,-0.000,0.002,0.000,-1.882,0.000,1.007,0.001,-0.001,0.808,0.002,0.589
4.641,2.847,0.045,0.015,-0.498,-0.000,0.001,0.000,-1.882,0.000,1.007,0.002,-0.001,0.808,0.001,0.589
4.707,2.848,0.050,0.015,-0.498,-0.000,0.001,0.000,-1.882,0.000,1.006,0.003,-0.000,0.808,0.000,0.589
4.774,2.847,0.055,0.013,-0.498,-0.000,-0.000,0.000,-1.882,0.000,1.006,0.003,0.000,0.808,-0.000,0.589
4.829,2.847,0.058,0.013,-0.498,-0.000,-0.001,0.000,-1.882,0.000,1.005,0.003,0.001,0.808,-0.001,0.589
4.896,2.845,0.060,0.013,-0.498,-0.000,-0.002,0.000,-1.882,0.000,1.005,0.004,0.001,0.808,-0.001,0.589
4.962,2.843,0.065,0.011,-0.498,-0.000,-0.002,0.000,-1.881,0.000,1.004,0.004,0.001,0.808,-0.002,0.589
5.018,2.840,0.069,0.014,-0.498,-0.000,-0.003,0.000,-1.881,0.000,1.004,0.005,0.001,0.808,-0.002,0.589
5.085,2.837,0.074,0.011,-0.498,-0.000,-0.004,0.000,-1.881,0.000,1.003,0.005,0.002,0.808,-0.002,0.589
5.152,2.833,0.081,0.004,-0.498,-0.000,-0.004,0.000,-1.881,0.000,1.002,0.007,0.002,0.808,-0.003,0.589
5.207,2.830,0.084,0.006,-0.498,-0.000,-0.004,0.000,-1.881,0.000,1.001,0.007,0.002,0.808,-0.003,0.589
5.272,2.826,0.091,0.002,-0.498,-0.000,-0.005,0.000,-1.881,0.000,1.000,0.008,0.002,0.808,-0.003,0.589
5.340,2.822,0.096,-0.008,-0.498,-0.000,-0.005,0.000,-1.881,-0.000,0.999,0.009,0.002,0.808,-0.003,0.589
5.395,2.819,0.101,-0.003,-0.498,-0.000,-0.005,-0.000,-1.881,-0.000,0.998,0.010,0.002,0.808,-0.003,0.589
